Mantra,Icon,Brain Wave,Rosette Type,Spectrum,Aura,Pump,Rotation
MONEY VORTEX,💷,Theta,Numismatic,Pure,false,false,false
ABUNDANCE GATEWAY,💴,Delta,Normal,Alternate,false,false,false
ENDLESS PROSPERITY,💲,Delta,Normal,Alternate,false,false,false
AFFLUENCE ZONE,🪙,Alpha,Pointy,Rainbow,false,false,false
RICH FREQUENCY,💰,Theta,Numismatic,Rainbow,true,false,false
I AM A WEALTH CREATOR,💹,Theta,Normal,Alternate,false,false,false
MILLIONAIRE MINDSET,💸,Theta,Numismatic,Rainbow,false,false,false
MONEY FINDS ME,💵,Theta,Pointy,Alternate,false,false,false
LAW OF ATTRACTION,💎,Delta,Pointy,Alternate,false,true,false
MONEY MULTIPLIER,💎,Alpha,Normal,Alternate,false,false,false
FORTUNE FOLLOWS ME,💴,Theta,Normal,Pure,false,true,false
WEALTH PORTAL,💰,Theta,Normal,Alternate,false,false,false
PROSPERITY FINDS ME,💶,Theta,Pointy,Alternate,false,false,false
MONETARY VIBRATION,💰,Alpha,Pointy,Rainbow,false,true,false
WEALTH MAGNET,💵,Theta,Numismatic,Pure,false,false,false
INFINITE CASH,💰,Alpha,Pointy,Alternate,false,false,false
UNLIMITED ABUNDANCE,💴,Delta,Numismatic,Alternate,false,true,false
PROSPERITY MAGNET,💴,Delta,Pointy,Alternate,true,false,false
MONEY GATEWAY,🤑,Alpha,Wavy,Alternate,false,false,true
LIVE IN ABUNDANCE,💰,Theta,Normal,Pure,false,false,false
I DESERVE ABUNDANCE,🪙,Delta,Pointy,Alternate,false,false,false
PROSPERITY FLOW,💰,Alpha,Numismatic,Alternate,false,false,false
PROSPERITY PATH,💷,Theta,Normal,Alternate,false,false,false
I WILL SUCCEED,💷,Delta,Normal,Alternate,false,false,false
DIVINE ABUNDANCE,💵,Theta,Normal,Pure,false,false,false
ABUNDANCE MINDSET,🤑,Delta,Numismatic,Alternate,false,true,false
UNLOCK WEALTH,CGK,Theta,Normal,Rainbow,false,false,true
MONEY MAGNET,💵,Theta,Pointy,Pure,false,false,false
WEALTH CHANNEL,💰,Theta,Numismatic,Pure,false,false,false
WEALTH GATEWAY,📈,Alpha,Numismatic,Alternate,true,false,false
MONEY FLOWS TO ME,💎,Alpha,Pointy,Alternate,false,false,false
PROSPERITY RADIANCE,💵,Alpha,Normal,Alternate,false,false,false
FINANCIAL FREEDOM,💷,Theta,Numismatic,Alternate,false,false,true
GOLDEN PROSPERITY,💰,Alpha,Numismatic,Alternate,false,false,false
PROSPERITY MINDSET,💲,Alpha,Pointy,Pure,true,false,false
LUCK FREQUENCY,🍀,Alpha,Numismatic,Pure,false,false,false
MY LIFE HAS VALUE,💵,Delta,Normal,Alternate,true,false,false
I AM WEALTH,💲,Theta,Numismatic,Pure,false,false,false
WEALTH MANIFESTATION,💰,Theta,Normal,Alternate,true,true,false
FINANCIAL SURPLUS,💎,Theta,Wavy,Alternate,true,false,false
GOLDEN ENERGY,📈,Alpha,Wavy,Alternate,false,false,false
MONETARY EXPANSION,CGK,Delta,Wavy,Alternate,false,false,false
THE UNIVERSE PROVIDES,💸,Alpha,Wavy,Alternate,false,false,false
GOLDEN VORTEX,💶,Delta,Wavy,Rainbow,false,false,false
I AM RICH,💎,Alpha,Normal,Alternate,false,false,false
INFINITE PROSPERITY,💴,Theta,Normal,Pure,false,false,false
WEALTH EXPANSION,💎,Alpha,Numismatic,Pure,false,false,false
GOLDEN OPPORTUNITY,CGK,Theta,Normal,Pure,false,false,false
INFINITE WEALTH,🍀,Alpha,Wavy,Alternate,false,false,false
I DESERVE TO BE RICH,CGK,Delta,Numismatic,Alternate,true,false,false
